"","Name","Annotation.status","Annotation.area","A","BRY","CNCA","CNTR","CR","CRB","ESS","ESU","MOB","MOCH","MOG","SP","WPOT","SU","SC","LICHEN","SHAD","Unc","MAA","MAEC","MAEF","MAEN","MAENR","MAF","MAG","MALA","MALCB","MAS"
"19","USMAMH201905_466_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,2,0,0,80,0,1,0,9,0,0,0,0
"20","USMAMH201905_503_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,3,0,0,73,0,8,0,0,0,0,0,0
"21","USMAMH201905_552_low_(5).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,11,0,0,0,4,0,0,33,0,6,0,0,0,15,0,0,2,0,24,0,5,0,0,0,0,0,0
"22","USMAMH201905_596_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,10,0,0,0,0,2,0,0,0,73,0,2,0,0,11,0,2,0,0,0,0,0,0
"23","USMAMH201905_598_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,17,0,0,2,0,1,0,0,0,23,0,2,0,0,15,0,40,0,0,0,0,0,0
"24","USMAMH201905_599_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,40,0,0,0,4,0,0,0,0,1,0,0,0,6,0,1,4,0,41,0,2,0,1,0,0,0,0
"25","USMAMH201905_600_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,11,0,0,0,0,4,0,0,0,62,0,1,0,0,14,0,8,0,0,0,0,0,0
"26","USMAPH201807_405_low_(4).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,7,0,0,20,0,0,0,0,0,4,0,1,0,0,67,0,1,0,0,0,0,0,0
"27","USMAPH201807_422_high_.JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,24,0,0,15,0,2,0,0,0,20,0,4,0,0,22,0,11,0,0,0,2,0,0
"28","USMAPH201807_426_high_.JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,12,0,0,18,0,0,0,0,0,31,0,1,0,0,37,0,0,0,0,0,1,0,0
"29","USMAPH201807_428_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,1,0,0,81,0,0,0,1,0,0,0,0
"30","USMAPH201807_441_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,0,0,0,0,0,0,0
"31","USMAPH201807_444_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,26,0,0,0,0,0,0,0,0,26,0,1,0,0,42,0,5,0,0,0,0,0,0
"32","USMAPH201807_450_low_(1).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,11,0,0,6,0,1,0,0,0,58,0,0,1,0,23,0,0,0,0,0,0,0,0
"33","USMAPH201807_461_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"34","USMAPH201807_483_high_(4).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,40,0,0,2,0,0,0,0,0,4,0,2,0,0,47,0,1,0,2,0,2,0,0
"35","USMAPH201807_494_low_(1).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,19,0,0,0,0,0,0,0,0,11,0,2,0,0,67,0,1,0,0,0,0,0,0
"36","USMAPH201807_499_high_.JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,10,0,0,17,0,0,0,0,0,36,0,0,15,0,18,0,2,0,1,0,1,0,0
"37","USMAPH201807_529_high_.JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,23,0,0,11,0,0,0,0,0,13,0,0,0,0,44,0,9,0,0,0,0,0,0
"38","USMAPH201905_422_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,12,0,0,2,0,0,0,0,0,4,0,7,0,0,72,0,0,0,0,0,3,0,0
"39","USMAPH201905_426_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,36,0,0,18,0,2,0,0,0,19,0,0,0,0,16,0,8,0,1,0,0,0,0
"40","USMAPH201905_441_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,1,0,0,0,0,2,0,0,0,16,0,0,0,0,80,0,1,0,0,0,0,0,0
"41","USMAPH201905_450_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,25,0,0,4,0,1,0,0,0,36,0,3,0,0,31,0,0,0,0,0,0,0,0
"42","USMAPH201905_455_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,28,0,0,0,0,3,0,0,0,16,0,2,0,0,36,0,15,0,0,0,0,0,0
"43","USMAPH201905_461_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,50,0,0,1,0,3,0,0,0,23,0,2,0,0,20,0,1,0,0,0,0,0,0
"44","USMAPH201905_469_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,21,0,0,0,0,1,0,0,0,72,0,0,0,0,6,0,0,0,0,0,0,0,0
"45","USMAPH201905_494_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,3,0,0,81,0,0,0,0,0,0,0,0
"46","USMAPH201905_499_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,28,0,0,0,0,4,0,0,0,19,0,0,37,0,12,0,0,0,0,0,0,0,0
"47","USMECH201808_190_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,46,0,0,0,0,1,0,0,0,3,0,0,0,0,47,0,3,0,0,0,0,0,0
"48","USMECH201808_191_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,5,0,0,9,0,1,0,0,0,5,0,3,0,0,61,8,0,0,0,0,8,0,0
"49","USMECH201808_192_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,18,0,0,2,0,0,0,0,0,1,0,4,0,0,75,0,0,0,0,0,0,0,0
"50","USMECH201808_195_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,81,0,0,0,0,0,0,0,0,14,0,2,0,0,3,0,0,0,0,0,0,0,0
"51","USMECH201808_198_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
"52","USMECH201808_564_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,7,0,0,0,0,2,0,0,0,16,0,0,0,0,75,0,0,0,0,0,0,0,0
"53","USMECH201905_190_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,65,0,1,0,0,0,1,0,0
"54","USMECH201905_191_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,30,0,0,9,0,0,0,0,0,21,0,0,0,0,35,0,0,0,0,0,5,0,0
"55","USMECH201905_192_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
"56","USMECH201905_193_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,18,0,0,3,0,9,0,0,0,5,0,0,0,0,47,0,18,0,0,0,0,0,0
"57","USMECH201905_194_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,70,0,0,4,0,0,0,0,0,6,0,1,0,0,19,0,0,0,0,0,0,0,0
"58","USMECH201905_195_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,94,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
"59","USMECH201905_196_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,54,0,0,3,0,1,0,0,0,23,0,0,1,0,10,0,1,0,4,0,3,0,0
"60","USMECH201905_198_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,16,0,0,1,0,0,0,0,0,20,0,0,0,0,38,0,20,0,0,0,5,0,0
"61","USMECH201905_199_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,19,0,0,0,0,4,0,0,0,7,0,0,0,0,28,0,28,0,1,0,3,0,10
"62","USMECH201905_200_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,12,0,1,0,6,0,5,0,71
"63","USMECH201905_564_low_(1).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,57,0,0,0,0,0,0,0,0,3,0,0,0,0,39,0,1,0,0,0,0,0,0
"64","USMEGS201807_107_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,7,0,0,0,16,0,0,1,0,9,0,0,0,39,0,0,0,0,19,0,1,0,0,0,8,0,0
"65","USMEGS201807_133_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0
"66","USMEGS201807_134_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,46,0,0,1,0,0,0,0,0,2,0,0,1,0,50,0,0,0,0,0,0,0,0
"67","USMEGS201807_135_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,45,0,0,0,0,10,0,0,0,6,0,0,2,0,37,0,0,0,0,0,0,0,0
"68","USMEGS201807_159_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,0,0,0,0,0,0,0
"69","USMEGS201807_160_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0
"70","USMEGS201807_166_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,88,0,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0
"71","USMEGS201807_186_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,37,0,0,0,0,0,0,0,0,17,0,1,0,0,45,0,0,0,0,0,0,0,0
"72","USMEGS201807_187_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,93,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","USMEGS201807_94_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"74","USMEGS201807_98_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,6,0,0,0,0,1,0,0,0,3,0,11,0,0,79,0,0,0,0,0,0,0,0
"75","USMEGS201807_99_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,8,0,0,1,0,2,0,0,0,15,0,0,0,0,74,0,0,0,0,0,0,0,0
"76","USMEGS201808_107_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,14,0,0,0,0,1,0,0,0,59,0,2,0,0,24,0,0,0,0,0,0,0,0
"77","USMEGS201808_133_low_(4).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,4,0,0,0,0,5,0,0,0,13,0,7,0,0,71,0,0,0,0,0,0,0,0
"78","USMEGS201808_134_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,90,0,0,0,0,0,0,0,0
"79","USMEGS201808_135_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,30,0,0,1,0,0,0,0,0,2,0,3,1,0,63,0,0,0,0,0,0,0,0
"80","USMEGS201808_159_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16,0,0,77,0,0,0,0,0,0,0,0
"81","USMEGS201808_160_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,92,0,0,0,0,0,0,0,0
"82","USMEGS201808_165_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,82,0,0,0,0,3,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0
"83","USMEGS201808_166_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,91,0,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
"84","USMEGS201808_186_high_(1).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,93,0,0,0,0,0,0,0,0
"85","USMEGS201808_94_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"86","USMEGS201808_99_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,31,0,0,0,0,2,0,0,0,39,0,0,0,0,28,0,0,0,0,0,0,0,0
"87","USMEGS201905_107_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,27,0,0,0,0,1,0,0,0,32,0,0,0,0,34,0,0,0,0,0,6,0,0
"88","USMEGS201905_134_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,0,0,0,0,73,0,0,0,0,0,0,0,0
"89","USMEGS201905_160_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
"90","USMEGS201905_165_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,63,0,0,0,0,4,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0
"91","USMEGS201905_187_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,87,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","USMEGS201905_99_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,15,0,0,0,0,3,0,0,0,3,0,1,0,0,78,0,0,0,0,0,0,0,0
